Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
53028775,"The Gilded Ones (Deathless, #1)",Namina Forna,"Forna, Namina",,"=""1984848690""","=""9781984848697""",0,4.04,Delacorte Press,Hardcover,432,2021,2020,,2022/02/17,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
22590,Ubik,Philip K. Dick,"Dick, Philip K.","David Alabort, Manuel Espín","=""8498000831""","=""9788498000832""",5,4.09,La factoría de ideas,Paperback,288,2006,1969,,2021/11/22,,,read,,,,1,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",4,4.10,Harper,Mass Market Paperback,417,2003,1967,,2021/11/22,,,read,,,,1,,,0,,,,,
40382407,Binti: The Complete Trilogy,Nnedi Okorafor,"Okorafor, Nnedi",,"=""""","=""""",4,4.09,DAW,Kindle Edition,368,2019,2019,,2022/01/21,,,read,,,,1,,,0,,,,,
567678,The Wasp Factory,Iain Banks,"Banks, Iain",,"=""0684853159""","=""9780684853154""",0,3.80,Simon & Schuster (NYC),Paperback,192,1998,1984,,2021/11/22,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
22285,Rant,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385517874""","=""9780385517874""",0,3.83,Doubleday Books,Hardcover,320,2007,2007,,2021/11/22,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
30013,Prelude to Foundation,Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",4,4.14,Voyager,Paperback,464,1994,1988,,2021/11/22,,,read,,,,1,,,0,,,,,
37588679,Eight Dates: Essential Conversations for a Lifetime of Love,John M. Gottman,"Gottman, John M.","約翰·高特曼, Douglas Carlton Abrams, 陳岡伯","=""1523504463""","=""9781523504466""",0,4.21,Workman Publishing Company,Hardcover,224,2019,2019,,2021/11/22,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
44439415,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098250""","=""9780593098257""",0,3.87,Ace Books,Paperback,587,2019,1981,,2021/11/22,,,read,,,,1,,,0,,,,,
44492286,"Children of Dune (Dune Chronicles, #3)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098242""","=""9780593098240""",0,3.95,Ace Books,Paperback,609,2019,1976,,2021/11/22,,,read,,,,1,,,0,,,,,
44492285,"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",5,3.89,Ace Books,Mass Market Paperback,337,2019,1969,,2021/11/22,,,read,,,,1,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.25,Ace Books,Hardcover,658,2019,1965,,2021/11/22,,,read,,,,1,,,0,,,,,
127455,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""0553804677""","=""9780553804676""",5,4.28,Bantam Spectra,Hardcover,499,2006,2006,,2020/06/20,,,read,,,,1,,,0,,,,,
17349126,Focus: The Hidden Driver of Excellence,Daniel Goleman,"Goleman, Daniel",,"=""0062114867""","=""9780062114860""",0,3.54,Harper,Hardcover,320,2013,2013,,2021/07/14,,,read,,,,1,,,0,,,,,
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""0099910101""","=""9780099910107""",5,3.81,Arrow Books,Paperback,293,2004,1929,2021/05/26,2021/05/24,,,read,,,,1,,,0,,,,,
929,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""1400096898""","=""9781400096893""",0,4.13,Vintage Books USA,Mass Market Paperback,503,2005,1997,,2021/05/24,,,read,,,,1,,,0,,,,,
5203,She's Come Undone,Wally Lamb,"Lamb, Wally",,"=""0671021001""","=""9780671021009""",4,3.89,Pocket,Mass Market Paperback,465,1998,1992,,2021/05/24,,,read,,,,1,,,0,,,,,
7672,Congo,Michael Crichton,"Crichton, Michael",,"=""0060541830""","=""9780060541835""",4,3.61,Avon Books,Paperback,442,2003,1980,,2021/05/24,,,read,,,,1,,,0,,,,,
1967070,Coraline,P. Craig Russell,"Russell, P. Craig",Neil Gaiman,"=""006082543X""","=""9780060825430""",4,4.04,HarperAlley,Hardcover,192,2008,2002,,2021/05/24,,,read,,,,1,,,0,,,,,
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",5,4.24,William Morrow,Mass Market Paperback,491,2006,1990,,2021/05/24,,,read,,,,1,,,0,,,,,
43190272,"To Be Taught, If Fortunate",Becky Chambers,"Chambers, Becky",,"=""0062936018""","=""9780062936011""",5,4.21,Harper Voyager,Paperback,153,2019,2019,,2021/05/24,,,read,,,,1,,,0,,,,,
33280160,What We Lose,Zinzi Clemmons,"Clemmons, Zinzi",,"=""0735221715""","=""9780735221710""",4,3.62,Viking,Hardcover,213,2017,2017,,2021/05/24,,,read,,,,1,,,0,,,,,
40611463,The Clan of the Cave Bear (Earth's Children #1),Jean M. Auel,"Auel, Jean M.",,"=""""","=""""",5,4.07,Bantam ,Kindle Edition,516,2016,1980,,2021/05/24,,,read,,,,1,,,0,,,,,
32622432,A Gift of Time,Jerry Merritt,"Merritt, Jerry",,"=""""","=""""",4,4.16,,Kindle Edition,353,2016,2016,,2021/05/24,,,read,,,,1,,,0,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",4,4.14,Faber & Faber,Paperback,258,2005,1989,,2021/05/24,,,read,,,,1,,,0,,,,,
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",5,4.36,Atria Books,Hardcover,337,2014,2012,,2021/05/24,,,read,,,,1,,,0,,,,,
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",4,4.22,Harpertorch,Mass Market Paperback,243,2001,1987,,2021/01/07,,,read,,,,1,,,0,,,,,
34507,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855908""","=""9780060855901""",5,4.03,Harper Perennial,Paperback,240,2005,1987,,2021/01/05,,,read,,,,1,,,0,,,,,
